"cDst","tDst","dX","dY","grp","grnd","vege","watr","stnX","indx"
17900,-3,553872.43,6803782.468,6,169.360000610352,NA,NA,"STN17900",45
17925,-3,553864.029,6803758.523,6,169.309997558594,NA,NA,"STN17925",46
17950,-11,553853.932,6803734.17,6,169.270004272461,NA,NA,"STN17950",42
17975,-26,553848.5485,6803705.52,6,169.229995727539,186.100006103516,NA,"STN17975",37
18000,-7,553811.7835,6803703.455,6,169.449996948242,183.964996337891,NA,"STN18000",42
18025,3,553790.084,6803714.857,6,169.350006103516,NA,NA,"STN18025",48
18050,13,553780.1815,6803735.484,6,169.524993896484,191.585006713867,NA,"STN18050",54
18075,94,553855.484,6803753.137,6,169.229995727539,NA,NA,"STN18075",98
18100,9,553763.235,6803775.569,6,169.270004272461,NA,169.300003051758,"STN18100",53
18125,8,553748.0915,6803796.2585,6,169.580001831055,182.619995117188,NA,"STN18125",53
18150,9,553743.15,6803813.2445,6,169.654006958008,NA,NA,"STN18150",52
18175,3,553729.969,6803837.442,6,169.376663208008,190.873336791992,NA,"STN18175",50
18200,13,553724.8095,6803862.9845,6,169.490005493164,NA,NA,"STN18200",53
18225,13,553720.367,6803878.129,6,169.350006103516,188.608337402344,NA,"STN18225",54
18250,9,553716.483,6803903.1485,6,169.697494506836,NA,NA,"STN18250",51
18275,11,553711.2065,6803931.439,6,169.410003662109,192.179992675781,NA,"STN18275",54
18300,22,553704.1495,6803960.1485,6,169.440002441406,NA,NA,"STN18300",59
18325,22,553687.7205,6803978.992,6,169.279998779297,NA,169.360000610352,"STN18325",58
18350,6,553659.2275,6803987.324,6,169.289993286133,NA,NA,"STN18350",51
18375,-12,553629.2265,6803994.3415,6,169.273330688477,NA,NA,"STN18375",43
18400,-15,553615.9485,6803998.8025,6,169.240005493164,NA,NA,"STN18400",42
18425,-15,553594.212,6804000.596,6,169.279998779297,NA,NA,"STN18425",42
18450,-12,553578.095,6803999.464,6,169.300003051758,NA,NA,"STN18450",44
18475,4,553550.7975,6803997.201,6,169.386672973633,NA,NA,"STN18475",49
18500,10,553533.003,6803995.1805,6,169.303329467773,NA,NA,"STN18500",53
18525,6,553508.088,6803991.219,6,169.306671142578,NA,NA,"STN18525",49
18550,4,553483.9255,6803980.621,6,169.353332519531,NA,NA,"STN18550",49
18575,4,553467.4055,6803962.204,6,169.240005493164,NA,NA,"STN18575",50
18600,6,553457.8765,6803937.549,6,169.356002807617,NA,NA,"STN18600",51
18625,6,553457.761,6803912.549,6,169.270004272461,NA,NA,"STN18625",51
18650,5,553458.6455,6803887.544,6,169.179992675781,NA,NA,"STN18650",52
18675,2,553461.53,6803862.5295,6,169.273330688477,NA,NA,"STN18675",51
18700,-4,553469.509,6803839.031,6,169.300003051758,NA,NA,"STN18700",49
18725,-2,553477.3965,6803818.5185,6,169.324996948242,NA,NA,"STN18725",50
18750,0,553487.18,6803796.4495,6,169.304992675781,NA,NA,"STN18750",51
